Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
January,1,1,"25,000",Christmas Giveaway/Resellers,2.70%,62.00%,52.00%,"25,259",682,355,327,"24,577",423,"25,000"
January,2,2,"16,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"16,170",501,240,261,"15,669",331,"16,000"
January,3,3,"25,000",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"25,293",733,403,330,"24,560",440,"25,000"
January,4,4,"33,000",Resellers/Coffee Shops,3.30%,68.00%,50.00%,"33,352","1,101",551,550,"32,251",749,"33,000"
February,1,5,"24,000",Valentines Giveaway/Resellers,2.80%,63.00%,53.00%,"24,251",679,360,319,"23,572",428,"24,000"
February,2,6,"20,000",Valentines Giveaway/Wedding/Resellers,3.40%,70.00%,47.00%,"20,206",687,323,364,"19,519",481,"20,000"
February,3,7,"18,000",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"18,213",546,306,240,"17,667",333,"18,000"
February,4,8,"22,000",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"22,243",578,283,295,"21,665",335,"22,000"
March,1,9,"20,000",Resellers/Wedding/Baptism/Reunion,3.20%,67.00%,54.00%,"20,213",647,349,298,"19,566",433,"19,999"
March,2,10,"23,000",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"23,243",674,344,330,"22,569",431,"23,000"
March,3,11,"17,000",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"17,186",533,277,256,"16,653",346,"16,999"
March,4,12,"13,000",Reseller,2.70%,59.00%,50.00%,"13,146",355,178,177,"12,791",209,"13,000"
April,1,13,"35,000",Resellers/Wedding/Baptism/Reunion,2.70%,62.00%,52.00%,"35,363",955,497,458,"34,408",592,"35,000"
April,2,14,"27,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"27,288",846,406,440,"26,442",558,"27,000"
April,3,15,"23,000",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"23,270",675,371,304,"22,595",405,"23,000"
April,4,16,"45,000",Resellers/Coffee Shops/Chocolate Factory,3.30%,68.00%,50.00%,"45,480","1,501",751,750,"43,979","1,021","45,000"
May,1,17,"15,000",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"15,157",424,225,199,"14,733",267,"15,000"
May,2,18,"23,000",Wedding/Resellers,3.40%,70.00%,47.00%,"23,237",790,371,419,"22,447",553,"23,000"
May,3,19,"10,000",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"10,118",304,170,134,"9,814",185,"9,999"
May,4,20,"18,000",Wedding/Resellers,2.60%,58.00%,49.00%,"18,199",473,232,241,"17,726",274,"18,000"
June,1,21,"18,000",Resellers/Wedding/Baptism,3.20%,67.00%,54.00%,"18,192",582,314,268,"17,610",390,"18,000"
June,2,22,"10,000",Resellers/Wedding/Baptism,2.90%,64.00%,51.00%,"10,106",293,149,144,"9,813",188,"10,001"
June,3,23,"20,000",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"20,219",627,326,301,"19,592",408,"20,000"
June,4,24,"15,000",Resellers/Coffee Shops,2.70%,59.00%,50.00%,"15,168",410,205,205,"14,758",242,"15,000"
July,1,25,"14,000",Resellers,2.70%,62.00%,52.00%,"14,145",382,199,183,"13,763",237,"14,000"
July,2,26,"20,000",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"20,213",627,301,326,"19,586",414,"20,000"
July,3,27,"15,000",Resellers/Wedding,2.90%,60.00%,55.00%,"15,176",440,242,198,"14,736",264,"15,000"
July,4,28,"12,000",Resellers,3.30%,68.00%,50.00%,"12,128",400,200,200,"11,728",272,"12,000"
August,1,29,"8,000",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"8,084",226,120,106,"7,858",142,"8,000"
August,2,30,"5,000",Resellers,3.40%,70.00%,47.00%,"5,052",172,81,91,"4,880",120,"5,000"
August,3,31,"4,000",Resellers,3.00%,61.00%,56.00%,"4,047",121,68,53,"3,926",74,"4,000"
August,4,32,"10,000",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"10,110",263,129,134,"9,847",153,"10,000"
